name,file,start,end,duration_sec,size_bytes,size_mb,stop_reason
safety_2026-06-29-08-26-06,/home/ml/webcam_recorder/recordings/safety_2026-06-29-08-26-06.mp4,2026-06-29 17:26:06,2026-06-29 17:26:36,30.0,24513562,24.5,request
safety_2026-06-29-08-37-06,/home/ml/webcam_recorder/recordings/safety_2026-06-29-08-37-06.mp4,2026-06-29 17:37:06,2026-06-29 17:37:54,48.0,6692507,6.7,request
cam_verify,/home/ml/webcam_recorder/recordings/cam_verify.mp4,2026-06-29 17:43:56,2026-06-29 17:43:59,3.0,2406115,2.4,request
cam_verify2,/home/ml/webcam_recorder/recordings/cam_verify2.mp4,2026-06-29 17:45:38,2026-06-29 17:45:41,3.0,1522795,1.5,request
cam_verify3,/home/ml/webcam_recorder/recordings/cam_verify3.mp4,2026-06-29 18:08:10,2026-06-29 18:08:13,3.0,1852939,1.9,request
focus_check,/home/ml/webcam_recorder/recordings/focus_check.mp4,2026-06-29 19:07:04,2026-06-29 19:07:10,6.1,3765252,3.8,request
fullres_check,/home/ml/webcam_recorder/recordings/fullres_check.mp4,2026-06-29 19:31:15,2026-06-29 19:31:25,9.1,36907744,36.9,request
safety_2026-06-29-11-13-20,/home/ml/webcam_recorder/recordings/safety_2026-06-29-11-13-20.mp4,2026-06-29 20:13:20,2026-06-29 20:14:06,45.0,199380806,199.4,request
safety_2026-06-29-11-14-37,/home/ml/webcam_recorder/recordings/safety_2026-06-29-11-14-37.mp4,2026-06-29 20:14:37,2026-06-29 20:15:14,36.0,158546961,158.5,request
safety_2026-06-29-12-58-38,/home/ml/webcam_recorder/recordings/safety_2026-06-29-12-58-38.mp4,2026-06-29 21:58:38,2026-06-29 21:59:22,44.0,194173899,194.2,request
safety_2026-06-29-12-59-38,/home/ml/webcam_recorder/recordings/safety_2026-06-29-12-59-38.mp4,2026-06-29 21:59:38,2026-06-29 22:00:10,32.0,140131786,140.1,request
safety_2026-06-29-13-17-24,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-17-24.mp4,2026-06-29 22:17:24,2026-06-29 22:18:12,47.0,208397548,208.4,request
safety_2026-06-29-13-18-28,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-18-28.mp4,2026-06-29 22:18:28,2026-06-29 22:18:53,24.0,104360800,104.4,request
safety_2026-06-29-13-26-08,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-26-08.mp4,2026-06-29 22:26:08,2026-06-29 22:26:44,35.0,153469874,153.5,request
safety_2026-06-29-13-26-55,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-26-55.mp4,2026-06-29 22:26:55,2026-06-29 22:27:14,18.0,77356619,77.4,request
safety_2026-06-29-13-44-02,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-44-02.mp4,2026-06-29 22:44:02,2026-06-29 22:44:08,5.0,18149599,18.1,request
safety_2026-06-29-13-44-55,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-44-55.mp4,2026-06-29 22:44:55,2026-06-29 22:46:22,86.0,382818620,382.8,request
safety_2026-06-29-13-58-19,/home/ml/webcam_recorder/recordings/safety_2026-06-29-13-58-19.mp4,2026-06-29 22:58:19,2026-06-29 22:59:15,56.0,248298374,248.3,request
safety_2026-06-30-06-36-08,/home/ml/webcam_recorder/recordings/safety_2026-06-30-06-36-08.mp4,2026-06-30 15:36:08,2026-06-30 15:36:58,50.0,218060632,218.1,request
safety_2026-06-30-08-13-28,/home/ml/webcam_recorder/recordings/safety_2026-06-30-08-13-28.mp4,2026-06-30 17:13:28,2026-06-30 17:13:55,27.0,92581296,92.6,request
safety_2026-06-30-08-14-12,/home/ml/webcam_recorder/recordings/safety_2026-06-30-08-14-12.mp4,2026-06-30 17:14:12,2026-06-30 17:14:40,28.0,120839216,120.8,request
safety_2026-06-30-08-42-18,/home/ml/webcam_recorder/recordings/safety_2026-06-30-08-42-18.mp4,2026-06-30 17:42:18,2026-06-30 17:43:00,42.0,183255942,183.3,request
safety_2026-06-30-08-43-13,/home/ml/webcam_recorder/recordings/safety_2026-06-30-08-43-13.mp4,2026-06-30 17:43:13,2026-06-30 17:43:43,30.0,129567737,129.6,request
safety_2026-06-30-09-07-07,/home/ml/webcam_recorder/recordings/safety_2026-06-30-09-07-07.mp4,2026-06-30 18:07:07,2026-06-30 18:07:34,27.0,116256863,116.3,request
safety_2026-06-30-10-48-53,/home/ml/webcam_recorder/recordings/safety_2026-06-30-10-48-53.mp4,2026-06-30 19:48:53,2026-06-30 19:49:14,21.0,89946707,89.9,request
